year,state,state_fips,candidate,party,candidatevotes,totalvotes,vote_share,two_party_votes,two_party_vote_share
2016,Tennessee,47,"TRUMP, DONALD J.",Republican,1522925,2508027,60.72203369,2393620,63.62434305
2016,Tennessee,47,"CLINTON, HILLARY",Democrat,870695,2508027,34.7163328,2393620,36.37565695
2020,Tennessee,47,"TRUMP, DONALD J.",Republican,1852475,3053851,60.66029417,2996186,61.82777037
2020,Tennessee,47,"BIDEN, JOSEPH R. JR",Democrat,1143711,3053851,37.45143427,2996186,38.17222963
1948,Texas,48,Harry Truman,Democrat,824235,1249577,65.96112124,1127702,73.0897879
1948,Texas,48,Thomas Dewey,Republican,303467,1249577,24.28557824,1127702,26.9102121
1952,Texas,48,Adlai Stevenson,Democrat,969228,2075946,46.68849768,2072106,46.7750202
1952,Texas,48,Dwight Eisenhower,Republican,1102878,2075946,53.12652641,2072106,53.2249798
1956,Texas,48,Adlai Stevenson,Democrat,859958,1955545,43.97536237,1940577,44.31455181
1956,Texas,48,Dwight Eisenhower,Republican,1080619,1955545,55.25922441,1940577,55.68544819
1960,Texas,48,John Kennedy,Democrat,1167567,2311084,50.5203186,2288877,51.0104737
1960,Texas,48,Richard Nixon,Republican,1121310,2311084,48.51879032,2288877,48.9895263
1964,Texas,48,Lyndon Johnson,Democrat,1663185,2626811,63.31574674,2621751,63.43794662
1964,Texas,48,Barry Goldwater,Republican,958566,2626811,36.49162425,2621751,36.56205338
1968,Texas,48,Hubert Humphrey,Democrat,1266804,3079406,41.13793374,2494648,50.78087169
1968,Texas,48,Richard Nixon,Republican,1227844,3079406,39.87275468,2494648,49.21912831
1972,Texas,48,George McGovern,Democrat,1154291,3472714,33.23887311,3453187,33.4268315
1972,Texas,48,Richard Nixon,Republican,2298896,3472714,66.19882893,3453187,66.5731685
1976,Texas,48,"CARTER, JIMMY",Democrat,2082319,4071884,51.13895681,4035619,51.59850323
1976,Texas,48,"FORD, GERALD",Republican,1953300,4071884,47.97042352,4035619,48.40149677
1980,Texas,48,"REAGAN, RONALD",Republican,2510705,4541636,55.28195126,4391852,57.16734079
1980,Texas,48,"CARTER, JIMMY",Democrat,1881147,4541636,41.42003014,4391852,42.83265921
1984,Texas,48,"REAGAN, RONALD",Republican,3433428,5397571,63.610613,5382704,63.78630517
1984,Texas,48,"MONDALE, WALTER",Democrat,1949276,5397571,36.11394829,5382704,36.21369483
1988,Texas,48,"BUSH, GEORGE H.W.",Republican,3036829,5427410,55.95355796,5389577,56.34633293
1988,Texas,48,"DUKAKIS, MICHAEL",Democrat,2352748,5427410,43.34936922,5389577,43.65366707
1992,Texas,48,"BUSH, GEORGE H.W.",Republican,2496071,6154018,40.56002111,4777886,52.24216317
1992,Texas,48,"CLINTON, BILL",Democrat,2281815,6154018,37.07845833,4777886,47.75783683
1996,Texas,48,"DOLE, ROBERT",Republican,2736167,5611644,48.75874165,5195850,52.66062338
1996,Texas,48,"CLINTON, BILL",Democrat,2459683,5611644,43.83177194,5195850,47.33937662
2000,Texas,48,"BUSH, GEORGE W.",Republican,3799639,6407637,59.29859947,6233385,60.95627015
2000,Texas,48,"GORE, AL",Democrat,2433746,6407637,37.98195809,6233385,39.04372985
2004,Texas,48,"BUSH, GEORGE W.",Republican,4526917,7410749,61.08582277,7359621,61.5101919
2004,Texas,48,"KERRY, JOHN",Democrat,2832704,7410749,38.22426046,7359621,38.4898081
2008,Texas,48,"MCCAIN, JOHN",Republican,4479328,8077795,55.45236045,8007961,55.93593675
2008,Texas,48,"OBAMA, BARACK H.",Democrat,3528633,8077795,43.68312145,8007961,44.06406325
2012,Texas,48,"ROMNEY, MITT",Republican,4569843,7993851,57.16697747,7877967,58.00789722
2012,Texas,48,"OBAMA, BARACK H.",Democrat,3308124,7993851,41.38335828,7877967,41.99210278
2016,Texas,48,"TRUMP, DONALD J.",Republican,4685047,8969226,52.23468558,8562915,54.71322558
2016,Texas,48,"CLINTON, HILLARY",Democrat,3877868,8969226,43.23525798,8562915,45.28677442
2020,Texas,48,"TRUMP, DONALD J.",Republican,5890347,11315056,52.0576036,11149473,52.83072124
2020,Texas,48,"BIDEN, JOSEPH R. JR",Democrat,5259126,11315056,46.47900991,11149473,47.16927876
1948,Utah,49,Harry Truman,Democrat,149151,276305,53.98056496,273553,54.52362065
1948,Utah,49,Thomas Dewey,Republican,124402,276305,45.02343425,273553,45.47637935
1952,Utah,49,Adlai Stevenson,Democrat,135364,329554,41.0749073,329554,41.0749073
1952,Utah,49,Dwight Eisenhower,Republican,194190,329554,58.9250927,329554,58.9250927
1956,Utah,49,Adlai Stevenson,Democrat,118364,333995,35.43885388,333995,35.43885388
1956,Utah,49,Dwight Eisenhower,Republican,215631,333995,64.56114612,333995,64.56114612
1960,Utah,49,John Kennedy,Democrat,169248,374709,45.16785025,374609,45.17990758
1960,Utah,49,Richard Nixon,Republican,205361,374709,54.80546237,374609,54.82009242
1964,Utah,49,Lyndon Johnson,Democrat,219628,400310,54.86448003,400310,54.86448003
1964,Utah,49,Barry Goldwater,Republican,180682,400310,45.13551997,400310,45.13551997
1968,Utah,49,Hubert Humphrey,Democrat,156665,422568,37.07450635,395393,39.62260333
1968,Utah,49,Richard Nixon,Republican,238728,422568,56.49457602,395393,60.37739667
1972,Utah,49,George McGovern,Democrat,126284,478476,26.39296433,449927,28.06766431
1972,Utah,49,Richard Nixon,Republican,323643,478476,67.64038322,449927,71.93233569
1976,Utah,49,"FORD, GERALD",Republican,337908,541218,62.43473055,520018,64.98005838
1976,Utah,49,"CARTER, JIMMY",Democrat,182110,541218,33.64817874,520018,35.01994162
1980,Utah,49,"REAGAN, RONALD",Republican,439687,604152,72.77754605,563953,77.96518504
1980,Utah,49,"CARTER, JIMMY",Democrat,124266,604152,20.56866484,563953,22.03481496
1984,Utah,49,"REAGAN, RONALD",Republican,469105,629656,74.50179145,624474,75.12002101
1984,Utah,49,"MONDALE, WALTER",Democrat,155369,629656,24.67521948,624474,24.87997899
1988,Utah,49,"BUSH, GEORGE H.W.",Republican,428442,647008,66.21896484,635785,67.38787483
1988,Utah,49,"DUKAKIS, MICHAEL",Democrat,207343,647008,32.04643528,635785,32.61212517
1992,Utah,49,"BUSH, GEORGE H.W.",Republican,322632,743998,43.3646327,506061,63.75357911
1992,Utah,49,"CLINTON, BILL",Democrat,183429,743998,24.65450176,506061,36.24642089
1996,Utah,49,"DOLE, ROBERT",Republican,361911,665629,54.3712789,583544,62.01948782
1996,Utah,49,"CLINTON, BILL",Democrat,221633,665629,33.29677643,583544,37.98051218
2000,Utah,49,"BUSH, GEORGE W.",Republican,515096,770754,66.83014295,718149,71.72550543
2000,Utah,49,"GORE, AL",Democrat,203053,770754,26.34472218,718149,28.27449457
2004,Utah,49,"BUSH, GEORGE W.",Republican,663742,927844,71.53594785,904941,73.34643916
2004,Utah,49,"KERRY, JOHN",Democrat,241199,927844,25.99564151,904941,26.65356084
2008,Utah,49,"MCCAIN, JOHN",Republican,596030,952370,62.58386971,923700,64.52636137
2008,Utah,49,"OBAMA, BARACK H.",Democrat,327670,952370,34.40574567,923700,35.47363863
2012,Utah,49,"ROMNEY, MITT",Republican,740600,1017440,72.7905331,992413,74.6261889
2012,Utah,49,"OBAMA, BARACK H.",Democrat,251813,1017440,24.74966583,992413,25.3738111
2016,Utah,49,"TRUMP, DONALD J.",Republican,515211,1131317,45.54081659,825885,62.38289835
2016,Utah,49,"CLINTON, HILLARY",Democrat,310674,1131317,27.46126859,825885,37.61710165
2020,Utah,49,"BIDEN, JOSEPH R. JR",Democrat,560282,1488289,37.64604858,1425422,39.30639488
2020,Utah,49,"TRUMP, DONALD J.",Republican,865140,1488289,58.12983903,1425422,60.69360512
1948,Vermont,50,Harry Truman,Democrat,45557,123382,36.92353828,121483,37.50072027
1948,Vermont,50,Thomas Dewey,Republican,75926,123382,61.53733932,121483,62.49927973
1952,Vermont,50,Adlai Stevenson,Democrat,43355,153557,28.23381546,153072,28.32327271
1952,Vermont,50,Dwight Eisenhower,Republican,109717,153557,71.45034092,153072,71.67672729
1956,Vermont,50,Adlai Stevenson,Democrat,42549,152978,27.81380329,152939,27.82089591
1956,Vermont,50,Dwight Eisenhower,Republican,110390,152978,72.16070285,152939,72.17910409
1960,Vermont,50,John Kennedy,Democrat,69186,167324,41.34852143,167317,41.35025132
1960,Vermont,50,Richard Nixon,Republican,98131,167324,58.64729507,167317,58.64974868
1964,Vermont,50,Lyndon Johnson,Democrat,108127,163089,66.29938255,163069,66.307514
1964,Vermont,50,Barry Goldwater,Republican,54942,163089,33.68835421,163069,33.692486
1968,Vermont,50,Hubert Humphrey,Democrat,70255,161404,43.52742187,155397,45.21001049
1968,Vermont,50,Richard Nixon,Republican,85142,161404,52.75086119,155397,54.78998951
1972,Vermont,50,George McGovern,Democrat,68174,186946,36.46721513,185323,36.78658342
1972,Vermont,50,Richard Nixon,Republican,117149,186946,62.66461973,185323,63.21341658
1976,Vermont,50,"FORD, GERALD",Republican,100387,183902,54.58722581,178185,56.33863681
1976,Vermont,50,"CARTER, JIMMY",Democrat,77798,183902,42.30405325,178185,43.66136319
1980,Vermont,50,"REAGAN, RONALD",Republican,94628,213299,44.36401483,176580,53.58930796
1980,Vermont,50,"CARTER, JIMMY",Democrat,81952,213299,38.42118341,176580,46.41069204
1984,Vermont,50,"REAGAN, RONALD",Republican,135865,234561,57.9230989,231595,58.66491073
1984,Vermont,50,"MONDALE, WALTER",Democrat,95730,234561,40.81241127,231595,41.33508927
1988,Vermont,50,"BUSH, GEORGE H.W.",Republican,124331,243328,51.09605142,240106,51.78171308
1988,Vermont,50,"DUKAKIS, MICHAEL",Democrat,115775,243328,47.57980997,240106,48.21828692
1992,Vermont,50,"CLINTON, BILL",Democrat,133592,289701,46.11375176,221714,60.25420136
1992,Vermont,50,"BUSH, GEORGE H.W.",Republican,88122,289701,30.41825883,221714,39.74579864
1996,Vermont,50,"CLINTON, BILL",Democrat,137894,258449,53.35443356,218246,63.18283038
1996,Vermont,50,"DOLE, ROBERT",Republican,80352,258449,31.09007967,218246,36.81716962
2000,Vermont,50,"GORE, AL",Democrat,149022,294308,50.63470922,268797,55.4403509
2000,Vermont,50,"BUSH, GEORGE W.",Republican,119775,294308,40.6971608,268797,44.5596491
2004,Vermont,50,"KERRY, JOHN",Democrat,184067,312309,58.93746258,305247,60.30100214
2004,Vermont,50,"BUSH, GEORGE W.",Republican,121180,312309,38.80131536,305247,39.69899786
2008,Vermont,50,"OBAMA, BARACK H.",Democrat,219262,325046,67.4556832,318236,68.89918174
2008,Vermont,50,"MCCAIN, JOHN",Republican,98974,325046,30.44922872,318236,31.10081826
2012,Vermont,50,"OBAMA, BARACK H.",Democrat,199239,299290,66.5705503,291937,68.24725883
2012,Vermont,50,"ROMNEY, MITT",Republican,92698,299290,30.97263524,291937,31.75274117
2016,Vermont,50,"CLINTON, HILLARY",Democrat,178573,320467,55.72274212,273942,65.18642632
2016,Vermont,50,"TRUMP, DONALD J.",Republican,95369,320467,29.7593824,273942,34.81357368
2020,Vermont,50,"BIDEN, JOSEPH R. JR",Democrat,242820,370968,65.45578055,355524,68.29918655
2020,Vermont,50,"TRUMP, DONALD J.",Republican,112704,370968,30.38105713,355524,31.70081345
1948,Virginia,51,Harry Truman,Democrat,200786,419256,47.89102601,372856,53.8508164
1948,Virginia,51,Thomas Dewey,Republican,172070,419256,41.04175015,372856,46.1491836
1952,Virginia,51,Adlai Stevenson,Democrat,268677,619689,43.3567483,617714,43.49537164
1952,Virginia,51,Dwight Eisenhower,Republican,349037,619689,56.32454344,617714,56.50462836
1956,Virginia,51,Adlai Stevenson,Democrat,267760,697978,38.36224064,654219,40.92819071
1956,Virginia,51,Dwight Eisenhower,Republican,386459,697978,55.36836405,654219,59.07180929
1960,Virginia,51,John Kennedy,Democrat,362327,771449,46.96707106,766848,47.24886809
1960,Virginia,51,Richard Nixon,Republican,404521,771449,52.43651881,766848,52.75113191
1964,Virginia,51,Lyndon Johnson,Democrat,558038,1042267,53.54079137,1039372,53.68992045
1964,Virginia,51,Barry Goldwater,Republican,481334,1042267,46.18144871,1039372,46.31007955
1968,Virginia,51,Hubert Humphrey,Democrat,442387,1361491,32.49283322,1032706,42.83765176
1968,Virginia,51,Richard Nixon,Republican,590319,1361491,43.35827413,1032706,57.16234824
1972,Virginia,51,George McGovern,Democrat,438887,1457019,30.12225647,1427380,30.74773361
1972,Virginia,51,Richard Nixon,Republican,988493,1457019,67.8435216,1427380,69.25226639
1976,Virginia,51,"FORD, GERALD",Republican,836554,1697094,49.29332141,1650450,50.68641886
1976,Virginia,51,"CARTER, JIMMY",Democrat,813896,1697094,47.95821563,1650450,49.31358114
1980,Virginia,51,"REAGAN, RONALD",Republican,989609,1866032,53.03279901,1741783,56.81586053
1980,Virginia,51,"CARTER, JIMMY",Democrat,752174,1866032,40.30874069,1741783,43.18413947
1984,Virginia,51,"REAGAN, RONALD",Republican,1337078,2146635,62.28716107,2133328,62.67568794
1984,Virginia,51,"MONDALE, WALTER",Democrat,796250,2146635,37.09293848,2133328,37.32431206
1988,Virginia,51,"BUSH, GEORGE H.W.",Republican,1309162,2191609,59.73519912,2168961,60.35894606
1988,Virginia,51,"DUKAKIS, MICHAEL",Democrat,859799,2191609,39.23140487,2168961,39.64105394
1992,Virginia,51,"BUSH, GEORGE H.W.",Republican,1150517,2559129,44.95736635,2189167,52.55501293
1992,Virginia,51,"CLINTON, BILL",Democrat,1038650,2559129,40.5860744,2189167,47.44498707
1996,Virginia,51,"DOLE, ROBERT",Republican,1138350,2416642,47.10461872,2229410,51.06059451
1996,Virginia,51,"CLINTON, BILL",Democrat,1091060,2416642,45.14777116,2229410,48.93940549
2000,Virginia,51,"BUSH, GEORGE W.",Republican,1437490,2739447,52.47372919,2654780,54.14723631
2000,Virginia,51,"GORE, AL",Democrat,1217290,2739447,44.43561054,2654780,45.85276369
2004,Virginia,51,"BUSH, GEORGE W.",Republican,1716959,3195415,53.73195657,3171701,54.13369671
2004,Virginia,51,"KERRY, JOHN",Democrat,1454742,3195415,45.5259176,3171701,45.86630329
2008,Virginia,51,"OBAMA, BARACK H.",Democrat,1959532,3723260,52.62946987,3684537,53.18258441
2008,Virginia,51,"MCCAIN, JOHN",Republican,1725005,3723260,46.33050069,3684537,46.81741559
2012,Virginia,51,"OBAMA, BARACK H.",Democrat,1971820,3854489,51.1564568,3794342,51.96737669
2012,Virginia,51,"ROMNEY, MITT",Republican,1822522,3854489,47.2831029,3794342,48.03262331
2016,Virginia,51,"CLINTON, HILLARY",Democrat,1981473,3982752,49.75135283,3750916,52.82637628
2016,Virginia,51,"TRUMP, DONALD J.",Republican,1769443,3982752,44.42764701,3750916,47.17362372
2020,Virginia,51,"BIDEN, JOSEPH R. JR",Democrat,2413568,4460524,54.10951718,4375998,55.154687
2020,Virginia,51,"TRUMP, DONALD J.",Republican,1962430,4460524,43.99550367,4375998,44.845313
1948,Washington,53,Harry Truman,Democrat,476165,905059,52.61148721,862480,55.20881644
1948,Washington,53,Thomas Dewey,Republican,386315,905059,42.68395762,862480,44.79118356
1952,Washington,53,Adlai Stevenson,Democrat,492845,1102708,44.69406225,1091952,45.13430993
1952,Washington,53,Dwight Eisenhower,Republican,599107,1102708,54.33052086,1091952,54.86569007
1956,Washington,53,Adlai Stevenson,Democrat,523002,1150889,45.44330513,1143432,45.73966795
1956,Washington,53,Dwight Eisenhower,Republican,620430,1150889,53.90876097,1143432,54.26033205
1960,Washington,53,John Kennedy,Democrat,599298,1241572,48.26929087,1228571,48.78008678
1960,Washington,53,Richard Nixon,Republican,629273,1241572,50.68356889,1228571,51.21991322
1964,Washington,53,Lyndon Johnson,Democrat,779881,1258556,61.96633284,1250247,62.37815408
1964,Washington,53,Barry Goldwater,Republican,470366,1258556,37.3734661,1250247,37.62184592
1968,Washington,53,Hubert Humphrey,Democrat,616037,1304281,47.23192318,1204547,51.14262872
1968,Washington,53,Richard Nixon,Republican,588510,1304281,45.12141172,1204547,48.85737128
1972,Washington,53,George McGovern,Democrat,568334,1470847,38.63991292,1405469,40.43732021
1972,Washington,53,Richard Nixon,Republican,837135,1470847,56.91516521,1405469,59.56267979
1976,Washington,53,"FORD, GERALD",Republican,777732,1555534,49.99774997,1495055,52.02029357
1976,Washington,53,"CARTER, JIMMY",Democrat,717323,1555534,46.11426044,1495055,47.97970643
1980,Washington,53,"REAGAN, RONALD",Republican,865244,1742394,49.65834364,1515437,57.09534609
1980,Washington,53,"CARTER, JIMMY",Democrat,650193,1742394,37.31607203,1515437,42.90465391
1984,Washington,53,"REAGAN, RONALD",Republican,1051670,1874910,56.09175907,1850022,56.84635102
1984,Washington,53,"MONDALE, WALTER",Democrat,798352,1874910,42.58081721,1850022,43.15364898
1988,Washington,53,"DUKAKIS, MICHAEL",Democrat,933516,1865253,50.0476879,1837351,50.80771175
1988,Washington,53,"BUSH, GEORGE H.W.",Republican,903835,1865253,48.45642924,1837351,49.19228825
1992,Washington,53,"CLINTON, BILL",Democrat,993037,2287565,43.41022004,1724271,57.59170107
1992,Washington,53,"BUSH, GEORGE H.W.",Republican,731234,2287565,31.96560535,1724271,42.40829893
1996,Washington,53,"CLINTON, BILL",Democrat,1123323,2253837,49.84047205,1964035,57.19465284
1996,Washington,53,"DOLE, ROBERT",Republican,840712,2253837,37.30136651,1964035,42.80534716
2000,Washington,53,"GORE, AL",Democrat,1247652,2487433,50.15821532,2356516,52.94477101
2000,Washington,53,"BUSH, GEORGE W.",Republican,1108864,2487433,44.57864795,2356516,47.05522899
2004,Washington,53,"KERRY, JOHN",Democrat,1510201,2859084,52.82114831,2815095,53.64653768
2004,Washington,53,"BUSH, GEORGE W.",Republican,1304894,2859084,45.64028199,2815095,46.35346232
2008,Washington,53,"OBAMA, BARACK H.",Democrat,1750848,3036878,57.65289221,2980064,58.7520268
2008,Washington,53,"MCCAIN, JOHN",Republican,1229216,3036878,40.47630494,2980064,41.2479732
2012,Washington,53,"OBAMA, BARACK H.",Democrat,1755396,3125516,56.1633983,3046066,57.62829827
2012,Washington,53,"MITT, ROMNEY",Republican,1290670,3125516,41.29462143,3046066,42.37170173
2016,Washington,53,"CLINTON, HILLARY",Democrat,1742718,3317019,52.53868006,2964465,58.7869312
2016,Washington,53,"TRUMP, DONALD J.",Republican,1221747,3317019,36.83268019,2964465,41.2130688
2020,Washington,53,"BIDEN, JOSEPH R. JR",Democrat,2369612,4087631,57.97030114,3954263,59.92550318
2020,Washington,53,"TRUMP, DONALD J.",Republican,1584651,4087631,38.76697774,3954263,40.07449682
1948,West Virginia,54,Harry Truman,Democrat,429188,748750,57.320601,745439,57.57520065
1948,West Virginia,54,Thomas Dewey,Republican,316251,748750,42.23719533,745439,42.42479935
1952,West Virginia,54,Adlai Stevenson,Democrat,453578,873548,51.9236493,873548,51.9236493
1952,West Virginia,54,Dwight Eisenhower,Republican,419970,873548,48.0763507,873548,48.0763507
1956,West Virginia,54,Adlai Stevenson,Democrat,381534,830831,45.92197451,830831,45.92197451
1956,West Virginia,54,Dwight Eisenhower,Republican,449297,830831,54.07802549,830831,54.07802549
1960,West Virginia,54,John Kennedy,Democrat,441786,837781,52.7328741,837781,52.7328741
1960,West Virginia,54,Richard Nixon,Republican,395995,837781,47.2671259,837781,47.2671259
1964,West Virginia,54,Lyndon Johnson,Democrat,538087,792040,67.93684662,792040,67.93684662
1964,West Virginia,54,Barry Goldwater,Republican,253953,792040,32.06315338,792040,32.06315338
1968,West Virginia,54,Hubert Humphrey,Democrat,374091,754206,49.60063961,681646,54.88053917
1968,West Virginia,54,Richard Nixon,Republican,307555,754206,40.77864668,681646,45.11946083
1972,West Virginia,54,George McGovern,Democrat,277435,762399,36.38973818,762399,36.38973818
1972,West Virginia,54,Richard Nixon,Republican,484964,762399,63.61026182,762399,63.61026182
1976,West Virginia,54,"CARTER, JIMMY",Democrat,435864,750590,58.06951865,750590,58.06951865
1976,West Virginia,54,"FORD, GERALD",Republican,314726,750590,41.93048135,750590,41.93048135
1980,West Virginia,54,"CARTER, JIMMY",Democrat,367462,737715,49.81083481,701668,52.36978172
1980,West Virginia,54,"REAGAN, RONALD",Republican,334206,737715,45.30286086,701668,47.63021828
1984,West Virginia,54,"REAGAN, RONALD",Republican,405483,735742,55.11211811,733608,55.27243432
1984,West Virginia,54,"MONDALE, WALTER",Democrat,328125,735742,44.59783457,733608,44.72756568
1988,West Virginia,54,"DUKAKIS, MICHAEL",Democrat,341016,653311,52.19811085,651081,52.3768932
1988,West Virginia,54,"BUSH, GEORGE H.W.",Republican,310065,653311,47.46055095,651081,47.6231068
1992,West Virginia,54,"CLINTON, BILL",Democrat,331001,683677,48.41482162,572975,57.76883808
1992,West Virginia,54,"BUSH, GEORGE H.W.",Republican,241974,683677,35.39302916,572975,42.23116192
1996,West Virginia,54,"CLINTON, BILL",Democrat,327812,636459,51.5055958,561758,58.35466518
1996,West Virginia,54,"DOLE, ROBERT",Republican,233946,636459,36.75743449,561758,41.64533482
2000,West Virginia,54,"BUSH, GEORGE W.",Republican,336475,648124,51.91521993,631972,53.24207402
2000,West Virginia,54,"GORE, AL",Democrat,295497,648124,45.59266437,631972,46.75792598
2004,West Virginia,54,"BUSH, GEORGE W.",Republican,423778,755792,56.07071787,750319,56.47971063
2004,West Virginia,54,"KERRY, JOHN",Democrat,326541,755792,43.2051411,750319,43.52028937
2008,West Virginia,54,"MCCAIN, JOHN",Republican,397466,713451,55.71034311,701323,56.67374377
2008,West Virginia,54,"OBAMA, BARACK H.",Democrat,303857,713451,42.58975038,701323,43.32625623
2012,West Virginia,54,"ROMNEY, MITT",Republican,417655,670438,62.29584242,655924,63.67429763
2012,West Virginia,54,"OBAMA, BARACK H.",Democrat,238269,670438,35.53930416,655924,36.32570237
2016,West Virginia,54,"TRUMP, DONALD J.",Republican,489371,713051,68.63057481,678165,72.16105225
2016,West Virginia,54,"CLINTON, HILLARY",Democrat,188794,713051,26.47692802,678165,27.83894775
2020,West Virginia,54,"BIDEN, JOSEPH R. JR",Democrat,235984,794652,29.69652124,781366,30.20146769
2020,West Virginia,54,"TRUMP, DONALD J.",Republican,545382,794652,68.63155192,781366,69.79853231
1948,Wisconsin,55,Harry Truman,Democrat,647310,1276800,50.69783835,1238269,52.27539412
1948,Wisconsin,55,Thomas Dewey,Republican,590959,1276800,46.28438283,1238269,47.72460588
1952,Wisconsin,55,Adlai Stevenson,Democrat,622175,1607370,38.70764043,1601919,38.83935455
1952,Wisconsin,55,Dwight Eisenhower,Republican,979744,1607370,60.95323417,1601919,61.16064545
1956,Wisconsin,55,Adlai Stevenson,Democrat,586768,1550558,37.84237674,1541612,38.06197668
1956,Wisconsin,55,Dwight Eisenhower,Republican,954844,1550558,61.58066967,1541612,61.93802332
1960,Wisconsin,55,John Kennedy,Democrat,830805,1729082,48.04890688,1725980,48.13526229
1960,Wisconsin,55,Richard Nixon,Republican,895175,1729082,51.77169157,1725980,51.86473771
1964,Wisconsin,55,Lyndon Johnson,Democrat,1050424,1691815,62.08858534,1688919,62.19504902
1964,Wisconsin,55,Barry Goldwater,Republican,638495,1691815,37.74023756,1688919,37.80495098
1968,Wisconsin,55,Hubert Humphrey,Democrat,748804,1691538,44.26764282,1558801,48.03717729
1968,Wisconsin,55,Richard Nixon,Republican,809997,1691538,47.88523817,1558801,51.96282271
1972,Wisconsin,55,George McGovern,Democrat,810174,1852890,43.72488383,1799604,45.01957097
1972,Wisconsin,55,Richard Nixon,Republican,989430,1852890,53.39928436,1799604,54.98042903
1976,Wisconsin,55,"CARTER, JIMMY",Democrat,1040232,2101336,49.50336357,2045219,50.86164367
1976,Wisconsin,55,"FORD, GERALD",Republican,1004987,2101336,47.8260973,2045219,49.13835633
1980,Wisconsin,55,"REAGAN, RONALD",Republican,1088845,2273221,47.89877447,2070429,52.59030858
1980,Wisconsin,55,"CARTER, JIMMY",Democrat,981584,2273221,43.18031551,2070429,47.40969142
1984,Wisconsin,55,"REAGAN, RONALD",Republican,1198584,2211689,54.19315283,2194324,54.62201571
1984,Wisconsin,55,"MONDALE, WALTER",Democrat,995740,2211689,45.02170061,2194324,45.37798429
1988,Wisconsin,55,"DUKAKIS, MICHAEL",Democrat,1126794,2191608,51.41403025,2174293,51.82346629
1988,Wisconsin,55,"BUSH, GEORGE H.W.",Republican,1047499,2191608,47.79591058,2174293,48.17653371
1992,Wisconsin,55,"CLINTON, BILL",Democrat,1041066,2531064,41.13155574,1971921,52.7945085
1992,Wisconsin,55,"BUSH, GEORGE H.W.",Republican,930855,2531064,36.77722096,1971921,47.2054915
1996,Wisconsin,55,"CLINTON, BILL",Democrat,1071971,2196169,48.81095216,1917000,55.91919666
1996,Wisconsin,55,"DOLE, ROBERT",Republican,845029,2196169,38.47741226,1917000,44.08080334
2000,Wisconsin,55,"GORE, AL",Democrat,1242987,2598607,47.83281966,2480266,50.1150683
2000,Wisconsin,55,"BUSH, GEORGE W.",Republican,1237279,2598607,47.61316351,2480266,49.8849317
2004,Wisconsin,55,"KERRY, JOHN",Democrat,1489504,2997007,49.69971708,2967624,50.19180327
2004,Wisconsin,55,"BUSH, GEORGE W.",Republican,1478120,2997007,49.31987146,2967624,49.80819673
2008,Wisconsin,55,"OBAMA, BARACK H.",Democrat,1677211,2983417,56.21778652,2939604,57.05567825
2008,Wisconsin,55,"MCCAIN, JOHN",Republican,1262393,2983417,42.31366249,2939604,42.94432175
2012,Wisconsin,55,"OBAMA, BARACK H.",Democrat,1620985,3071434,52.77616254,3031951,53.46342998
2012,Wisconsin,55,"ROMNEY, MITT",Republican,1410966,3071434,45.93834671,3031951,46.53657002
2016,Wisconsin,55,"TRUMP, DONALD J.",Republican,1405284,2976150,47.21818457,2787820,50.40798904
2016,Wisconsin,55,"CLINTON, HILLARY",Democrat,1382536,2976150,46.45384137,2787820,49.59201096
2020,Wisconsin,55,"BIDEN, JOSEPH R. JR",Democrat,1630866,3298041,49.44953686,3241050,50.31906327
2020,Wisconsin,55,"TRUMP, DONALD J.",Republican,1610184,3298041,48.82243732,3241050,49.68093673
1948,Wyoming,56,Harry Truman,Democrat,52354,101425,51.61843727,100301,52.19688737
1948,Wyoming,56,Thomas Dewey,Republican,47947,101425,47.2733547,100301,47.80311263
1952,Wyoming,56,Adlai Stevenson,Democrat,47934,129251,37.08597999,128981,37.16361325
1952,Wyoming,56,Dwight Eisenhower,Republican,81047,129251,62.70512414,128981,62.83638675
1956,Wyoming,56,Adlai Stevenson,Democrat,49554,124127,39.92201536,124127,39.92201536
1956,Wyoming,56,Dwight Eisenhower,Republican,74573,124127,60.07798464,124127,60.07798464
1960,Wyoming,56,John Kennedy,Democrat,63331,140782,44.98515435,140782,44.98515435
1960,Wyoming,56,Richard Nixon,Republican,77451,140782,55.01484565,140782,55.01484565
1964,Wyoming,56,Lyndon Johnson,Democrat,80718,142716,56.55847978,142716,56.55847978
1964,Wyoming,56,Barry Goldwater,Republican,61998,142716,43.44152022,142716,43.44152022
1968,Wyoming,56,Hubert Humphrey,Democrat,45173,127205,35.51196887,116100,38.9086994
1968,Wyoming,56,Richard Nixon,Republican,70927,127205,55.75802838,116100,61.0913006
1972,Wyoming,56,George McGovern,Democrat,44358,145570,30.4719379,144822,30.62932427
1972,Wyoming,56,Richard Nixon,Republican,100464,145570,69.01421996,144822,69.37067573
1976,Wyoming,56,"FORD, GERALD",Republican,92717,156343,59.30358251,154956,59.83440461
1976,Wyoming,56,"CARTER, JIMMY",Democrat,62239,156343,39.80926553,154956,40.16559539
1980,Wyoming,56,"REAGAN, RONALD",Republican,110700,176713,62.6439481,160127,69.13262598
1980,Wyoming,56,"CARTER, JIMMY",Democrat,49427,176713,27.97021159,160127,30.86737402
1984,Wyoming,56,"REAGAN, RONALD",Republican,133241,188968,70.50982177,186611,71.40039976
